uf;mrt;mercado;nivel;uso;vti_min;vti_mediano;vti_max;vtn_min;vtn_mediano;vtn_max;inconsistencia_na_fonte
MS;13;Aquidauana;Segundo;Pecuária: Pastagem Formada de Baixa Capacidade;12304.00;14475.00;16647.00;11841.00;13930.00;16020.00;
MS;13;Aquidauana;Segundo;Pecuária: Pastagem Formada de Média Capacidade;18953.00;22298.00;25642.00;17950.00;21117.00;24284.00;
MS;14;Jardim;Primeiro;Agrícola: Grãos Diversos;41821.00;49201.00;56851.00;40433.00;47568.00;54703.00;
MS;14;Jardim;Primeiro;Pecuária: Pastagem Formada;24869.00;29258.00;33647.00;23634.00;27487.00;31610.00;
MS;14;Jardim;Segundo;Pecuária: Pastagem Formada de Baixa Capacidade;15289.00;17987.00;20685.00;14802.00;17415.00;20028.00;
MS;14;Jardim;Segundo;Pecuária: Pastagem Formada de Média Capacidade;28393.00;33392.00;38400.00;14803.00;17415.00;20027.00;
MS;15;Iguatemi;Primeiro;Agrícola: Grãos Diversos;47006.00;55301.00;63597.00;46107.00;54244.00;62380.00;
MS;15;Iguatemi;Primeiro;Pecuária: Pastagem Formada;46209.00;54364.00;62518.00;40090.00;47165.00;54240.00;
MS;15;Iguatemi;Segundo;Agrícola: Grãos Diversos de Média Capacidade;43412.00;51073.00;58733.00;42333.00;49804.00;57274.00;
MS;15;Iguatemi;Segundo;Agrícola: Grãos Diversos de Alta Capacidade;103765.00;122076.00;140385.00;101603.00;119533.00;137463.00;
MS;15;Iguatemi;Segundo;Pecuária: Pastagem Formada de Média Capacidade;45854.00;53946.00;62038.00;39447.00;46408.00;53369.00;
MS;15;Iguatemi;Segundo;Pecuária: Pastagem Formada de Alta Capacidade;59828.00;63347.00;80943.00;53845.00;63347.00;72849.00;
